Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
katGitsuite,Chrome 92.0.4515.159,,,2021-09-07 10:03:33,2021-09-07 10:03:49,15.918s,PASSED
,,,,,,,
Test Cases/test1,Chrome 92.0.4515.159,,,2021-09-07 10:03:33,2021-09-07 10:03:41,7.766s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-09-07 10:03:33,2021-09-07 10:03:36,2.317s,PASSED
maximizeWindow(),Chrome 92.0.4515.159,,,2021-09-07 10:03:36,2021-09-07 10:03:36,0.144s,PASSED
"navigateToUrl(""https://www.google.ca/"")",Chrome 92.0.4515.159,,,2021-09-07 10:03:36,2021-09-07 10:03:36,0.538s,PASSED
delay(3),Chrome 92.0.4515.159,,,2021-09-07 10:03:36,2021-09-07 10:03:39,3.028s,PASSED
closeBrowser(),Chrome 92.0.4515.159,,,2021-09-07 10:03:39,2021-09-07 10:03:41,1.466s,PASSED
,,,,,,,
Test Cases/test2,Chrome 92.0.4515.159,,,2021-09-07 10:03:41,2021-09-07 10:03:49,7.875s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-09-07 10:03:41,2021-09-07 10:03:42,1.140s,PASSED
maximizeWindow(),Chrome 92.0.4515.159,,,2021-09-07 10:03:42,2021-09-07 10:03:42,0.129s,PASSED
"navigateToUrl(""https://www.katalon.com/"")",Chrome 92.0.4515.159,,,2021-09-07 10:03:42,2021-09-07 10:03:45,2.487s,PASSED
delay(3),Chrome 92.0.4515.159,,,2021-09-07 10:03:45,2021-09-07 10:03:48,3.002s,PASSED
closeBrowser(),Chrome 92.0.4515.159,,,2021-09-07 10:03:48,2021-09-07 10:03:49,0.954s,PASSED
